,title,time,date,Hour
1714,something horrible happened to my daughter and i%E2%80%99m not doing well i haven%E2%80%99t even been able to work i%E2%80%99m trying to get better,4:50 AM,24-Feb-21,4
1715,don%E2%80%99t know what to say anymore,11:33 PM,23-Feb-21,23
1716,venting,7:59 PM,23-Feb-21,19
1717,looking forward to getting back on meds,6:37 PM,23-Feb-21,18
1718,depression from grief and blame,6:30 PM,23-Feb-21,18
1719,im lost again,6:26 PM,23-Feb-21,18
1720,suicidal,6:58 AM,23-Feb-21,6
1721,having one of those days,2:44 AM,23-Feb-21,2
1722,tired of fighting depression,10:55 PM,22-Feb-21,22
1723,jealous of trauma,8:03 PM,22-Feb-21,20
1724,im knackered,7:38 PM,22-Feb-21,19
1725,i dont trust me i never did,4:26 PM,22-Feb-21,16
1726,failed at everything,10:41 AM,22-Feb-21,10
1727,anxiety,7:41 AM,22-Feb-21,7
1728,zoloft,3:58 AM,22-Feb-21,3
1729,help advise please,8:53 PM,21-Feb-21,20
1730,how do you respond,5:23 PM,21-Feb-21,17
1731,how the hell do i use this,1:10 AM,21-Feb-21,1
1732,really want to kill myself anyone want to message me,12:19 AM,21-Feb-21,0
1733,this life thing,11:06 PM,20-Feb-21,23
1734,don%E2%80%99t know what to do,9:45 PM,20-Feb-21,21
1735,just life,4:34 PM,20-Feb-21,16
1736,hard to keep going triggers,3:34 PM,20-Feb-21,15
1737,feel so depressed,2:14 PM,20-Feb-21,14
1738,do you want to know when and how youre going to die,1:39 PM,20-Feb-21,13
1739,suicidal from lack of sleep,11:12 AM,20-Feb-21,11
1740,how often do you have passive suicidal thoughts,8:49 AM,20-Feb-21,8
1741,what do you look for when looking for a psychiatrist,10:20 PM,19-Feb-21,22
1742,male postpartum depression,7:03 PM,19-Feb-21,19
1743,need someone to talk to,11:03 AM,19-Feb-21,11
1744,help my partners depression effect our family,11:54 PM,18-Feb-21,23
1745,depressed hopeless suicidal,11:33 PM,18-Feb-21,23
1746,zero drive,11:12 PM,18-Feb-21,23
1747,hopelessness,10:05 PM,18-Feb-21,22
1748,rapidly developing depression symptoms,8:18 PM,18-Feb-21,20
1749,struggling and need to talk,7:56 PM,18-Feb-21,19
1750,unbelievably depressed and living in constant fear,4:50 PM,18-Feb-21,16
1751,unmotivated to seek help,4:37 PM,18-Feb-21,16
1752,i want to die same shit as before,3:52 PM,18-Feb-21,15
1753,discussing my depression with so,3:12 PM,18-Feb-21,15
1754,getting better i think,11:48 AM,18-Feb-21,11
1755,low mood for a few days,2:22 AM,18-Feb-21,2
1756,loss of romantic desires,12:16 AM,18-Feb-21,0
1757,i cant get happy,11:52 PM,17-Feb-21,23
1758,loneliness,11:47 PM,17-Feb-21,23
1759,i feel disconnected with life,8:19 PM,17-Feb-21,20
1760,have you ever called a suicide helpline how did it go,2:52 PM,17-Feb-21,14
1761,alternatives to fluoxetine without serious side effects,12:12 PM,17-Feb-21,12
1762,im feeling lost,11:48 AM,17-Feb-21,11
1763,constantly bored,11:39 AM,17-Feb-21,11
1764,greif and loss with depression,11:27 AM,17-Feb-21,11
1765,i enjoy thinking about suicide,6:11 AM,17-Feb-21,6
1766,suicidal,3:34 AM,17-Feb-21,3
1767,im frustrated because i hurt my hip and its not getting better,2:31 AM,17-Feb-21,2
1768,exhausted by life,7:37 PM,16-Feb-21,19
1769,do you often sigh when you depressed or stressed,6:37 PM,16-Feb-21,18
1770,depression and low self esteem,5:45 PM,16-Feb-21,17
1771,everyday my mind wanders,12:44 AM,16-Feb-21,0
1772,i%E2%80%99m very isolated,5:21 PM,15-Feb-21,17
1773,tips on how to manage suicidal thoughts,3:50 PM,15-Feb-21,15
1774,everything is crumbling suddenly,12:39 PM,15-Feb-21,12
1775,in a dark place and wish to offload via pm,11:07 AM,15-Feb-21,11
1776,numb emotions and not feeling love because of depression,11:05 AM,15-Feb-21,11
1777,just got out hospital feel hopeless,10:36 AM,15-Feb-21,10
1778,who thinks their psych medicines arent working for them,8:55 AM,15-Feb-21,8
1779,i have several mental health issues new meds,12:16 AM,15-Feb-21,0
1780,trigger warning very depressed,8:42 PM,14-Feb-21,20
1781,whats the point of living,2:39 PM,14-Feb-21,14
1782,struggle to open up to the people who care about me,1:14 PM,14-Feb-21,13
1783,how do i keep going,1:11 PM,14-Feb-21,13
1784,chinese astrology and new year,12:12 AM,14-Feb-21,0
1785,hello im new here,10:56 PM,13-Feb-21,22
1786,cognitive distortions and depression,10:04 PM,13-Feb-21,22
1787,problems tolerating antidepressants,9:32 PM,13-Feb-21,21
1788,my problem is envious people and their words and actions,8:29 PM,13-Feb-21,20
1789,am i a bad dad,6:00 PM,13-Feb-21,18
1790,im done,3:01 PM,13-Feb-21,15
1791,does anyone else suffer from bipolar depression,8:43 AM,13-Feb-21,8
1792,i dont know what do,4:33 AM,13-Feb-21,4
1793,can anyone recommend medication,3:21 AM,13-Feb-21,3
1794,almost at the end help needed,2:34 AM,13-Feb-21,2
1795,lost,11:59 PM,12-Feb-21,23
1796,can i be depressed without knowing,3:52 PM,12-Feb-21,15
1797,dont know how much more can take,1:50 PM,12-Feb-21,13
1798,i just got stalked in the mountains,4:50 AM,12-Feb-21,4
1799,i want to end my life so bas,3:11 AM,12-Feb-21,3
1800,talking out loud to yourself,12:42 AM,12-Feb-21,0
1801,nothing feels real anymore,12:02 AM,12-Feb-21,0
1802,joy,9:59 PM,11-Feb-21,21
1803,im so depressed,1:54 PM,11-Feb-21,13
1804,im bored,6:49 AM,11-Feb-21,6
1805,gender dysphoria angry at the world,3:48 AM,11-Feb-21,3
1806,tired of so many things including the plandemic,2:03 AM,11-Feb-21,2
1807,i just needed to tell somone,2:40 PM,10-Feb-21,14
1808,bi polar alcoholic mother is imploding my relationship with my wife is very difficult feeling very overwhelmed,1:32 PM,10-Feb-21,13
1809,overwhelmed with depression and grief,1:27 PM,10-Feb-21,13
1810,who has concentration memory problems because of depression,6:15 AM,10-Feb-21,6
1811,getting out for a walk,6:12 AM,10-Feb-21,6
1812,why does my close friend with depression shut me out but keeps other people,2:27 AM,10-Feb-21,2
1813,depression or quiet bpd,2:17 AM,10-Feb-21,2
1814,pain,1:03 AM,10-Feb-21,1
1815,what do i have to show for it,9:54 PM,9-Feb-21,21
1816,my new toy,7:23 PM,9-Feb-21,19
1817,i feel broken,11:13 AM,9-Feb-21,11
1818,so sick of being me,7:39 PM,8-Feb-21,19
1819,depression and other mental health woes,1:31 PM,8-Feb-21,13
1820,my story is unoriginal but i need to vent pls,10:51 AM,8-Feb-21,10
1821,rock bottom,10:31 AM,8-Feb-21,10
1822,my mental health can get better but i still have people problems,8:51 AM,8-Feb-21,8
1823,i am a shadow,11:11 PM,7-Feb-21,23
1824,mental breakdown,5:50 PM,7-Feb-21,17
1825,no hope for change now,5:14 PM,7-Feb-21,17
1826,i feel so overwhelmed,3:49 PM,7-Feb-21,15
1827,couldn%E2%80%99t find a sub category for mine,3:27 PM,7-Feb-21,15
1828,struggling to eat again recently,3:19 PM,7-Feb-21,15
1829,depression jokes,6:48 AM,7-Feb-21,6
1830,anyone on pain medication,12:29 AM,7-Feb-21,0
1831,what worth is therapy if the circumstances are hopeless,11:49 PM,6-Feb-21,23
1832,extremely fed up of being body shamed by people,6:47 PM,6-Feb-21,18
1833,just becoming too much to bear,6:18 PM,6-Feb-21,18
1834,depression and anxiety possibly triggered by medication,7:41 AM,6-Feb-21,7
1835,am i depressed,1:56 AM,6-Feb-21,1
1836,idk what to label this as but tw for suicide and self harm,11:12 AM,5-Feb-21,11
1837,nowhere else to go,10:56 AM,5-Feb-21,10
1838,my husband damage me so bad how do i get me back,8:39 AM,5-Feb-21,8
1839,struggling,3:36 AM,5-Feb-21,3
1840,had enough,12:00 AM,5-Feb-21,0
1841,girlfriend has depression and has pushed away need advice support,10:35 PM,4-Feb-21,22
1842,snack time,9:17 PM,4-Feb-21,21
1843,can you just back off a bit please life,10:11 AM,4-Feb-21,10
1844,not able to tolerate ad%E2%80%99s,9:19 AM,4-Feb-21,9
1845,fucked up my life and see no way out,8:33 AM,4-Feb-21,8
1846,obsessive thoughts,8:18 AM,4-Feb-21,8
1847,school shooting trauma,5:05 AM,4-Feb-21,5
1848,depressed girlfriend is going through a hard time,11:31 PM,3-Feb-21,23
1849,struggling with thoughts about future,7:53 PM,3-Feb-21,19
1850,the day the darkness came for good,11:02 AM,3-Feb-21,11
1851,loyalty,10:44 AM,3-Feb-21,10
1852,depressed and feeling inadequate to my loved ones,3:52 AM,3-Feb-21,3
1853,love this song,12:43 AM,3-Feb-21,0
1854,im just plain bored and i feel like i cant do anything about it,12:10 AM,3-Feb-21,0
1855,feeling worse now than a few years ago,11:36 PM,2-Feb-21,23
1856,today is a bad day,6:58 PM,2-Feb-21,18
1857,positivity,4:22 PM,2-Feb-21,16
1858,i feel like my life is some sort if sick joke and im fed up of living it,11:19 AM,2-Feb-21,11
1859,going to try to get gabapentin,10:22 AM,2-Feb-21,10
1860,why cant i change,4:17 AM,2-Feb-21,4
1861,i need help %E2%80%98may be triggering%E2%80%99,10:18 PM,1-Feb-21,22
1862,citalopram withdrawal any success stories,8:11 PM,1-Feb-21,20
1863,i fell over walking star,7:11 PM,1-Feb-21,19
1864,set an alarm at 9am today took me 3 and a half hours to get out of bed,6:18 PM,1-Feb-21,18
1865,new partners sudden depression how to deal with it,5:32 PM,1-Feb-21,17
1866,feeling like everything is empty,8:11 AM,1-Feb-21,8
1867,relationships with family members,2:41 AM,1-Feb-21,2
1868,geek fantasy land,11:15 PM,31-Jan-21,23
1869,having a hard time,7:05 PM,31-Jan-21,19
1870,hospital admission,6:41 PM,31-Jan-21,18
1871,relationship causing depression,6:12 PM,31-Jan-21,18
1872,i dont understand,6:07 PM,31-Jan-21,18
1873,feel depressed since trump lost,2:48 PM,31-Jan-21,14
1874,anyone taking omeprazol,5:46 PM,30-Jan-21,17
1875,online dating and making things worse for myself,12:26 AM,30-Jan-21,0
1876,feeling alone and hopeless,10:58 PM,29-Jan-21,22
1877,chronically depressed and alone,7:27 PM,29-Jan-21,19
1878,tired and alone,6:14 PM,29-Jan-21,18
1879,for professionals pharmacology and receptor sensitivity,4:04 PM,29-Jan-21,16
1880,mood swings,11:32 PM,28-Jan-21,23
1881,bad times,3:53 PM,28-Jan-21,15
1882,i m lost can be triggering maybe,8:04 AM,28-Jan-21,8
1883,empty,2:35 AM,28-Jan-21,2
1884,loss of loved one,1:10 AM,28-Jan-21,1
1885,family troubles,12:01 AM,28-Jan-21,0
1886,hoping i die soon,7:27 PM,27-Jan-21,19
1887,feeling good for the first time in a while,6:57 PM,27-Jan-21,18
1888,gabipentin,2:52 PM,27-Jan-21,14
1889,losing faith,2:04 PM,27-Jan-21,14
1890,it should be getting easier but its not,1:02 PM,27-Jan-21,13
1891,peter barlow corination street,10:22 AM,27-Jan-21,10
1892,i cant sleep,9:18 AM,27-Jan-21,9
1893,mummy on the edge,9:15 AM,27-Jan-21,9
1894,inner voice,6:07 AM,27-Jan-21,6
1895,what do you think of these messages,3:42 AM,27-Jan-21,3
1896,hi,10:53 PM,26-Jan-21,22
1897,if i dont believe ill ever be happy does that guarantee i wont,8:05 PM,26-Jan-21,20
1898,hoping to breathe,6:52 PM,26-Jan-21,18
1899,im done,3:17 PM,26-Jan-21,15
1900,meds,2:58 PM,26-Jan-21,14
1901,does someone want to chat about ssris and failing meds,2:55 PM,26-Jan-21,14
1902,alcohol is bad,1:38 AM,26-Jan-21,1
1903,severe depression and isolation due to 3rd lockdown,12:18 AM,26-Jan-21,0
1904,tired,11:41 PM,25-Jan-21,23
1905,hike got cancelled,10:09 PM,25-Jan-21,22
1906,what do i even do at this point,9:57 PM,25-Jan-21,21
1907,feeling hopeless,9:06 PM,25-Jan-21,21
1908,hi im new here and have suffered depression since early 90s,8:36 PM,25-Jan-21,20
1909,sad,1:32 PM,25-Jan-21,13
1910,guys i found the cure,11:49 AM,25-Jan-21,11
1911,family,4:20 AM,25-Jan-21,4
1912,wake up exhausted and with a headache cant get out of bed for hours,2:39 AM,25-Jan-21,2
1913,slipping back into a dark place,6:23 PM,24-Jan-21,18
1914,need some help im feeling very depressed the moment and just do not feel good,3:58 PM,24-Jan-21,15
1915,feeling alone a lot,11:35 PM,23-Jan-21,23
1916,advice for you on loniless and depression,4:05 PM,23-Jan-21,16
1917,obsession with depression,3:13 AM,23-Jan-21,3
1918,want to leave society,10:31 PM,22-Jan-21,22
1919,losing a loved one how do i get through this,8:18 PM,22-Jan-21,20
1920,switched medication after 25 years on paxil,4:36 PM,22-Jan-21,16
1921,i feel so lost and done,11:28 AM,22-Jan-21,11
1922,i will always be lonely,2:20 PM,21-Jan-21,14
1923,tw suicidal feeling like a burden out of control,7:33 AM,21-Jan-21,7
1924,so tired of life,7:32 AM,21-Jan-21,7
1925,i think i%E2%80%99m incapable of love,6:01 AM,21-Jan-21,6
1926,depression and studies,4:51 AM,21-Jan-21,4
1927,feeling so depressed and fed up,10:22 PM,20-Jan-21,22
1928,question,7:01 PM,20-Jan-21,19
1929,psychiatrist appoinment phone,6:20 PM,20-Jan-21,18
1930,i miss myself,4:39 PM,20-Jan-21,16
1931,how to stop nightmares,10:40 AM,20-Jan-21,10
1932,suicide,10:26 AM,20-Jan-21,10
1933,its hard to talk about this,9:14 AM,20-Jan-21,9
1934,is my brother narcissistic,5:41 AM,20-Jan-21,5
1935,i was already depressed then my boyfriend died next to me while we were sleeping,12:05 AM,20-Jan-21,0
1936,husband has depression,2:07 PM,19-Jan-21,14
1937,feeling empty,1:21 PM,19-Jan-21,13
1938,consuming black hole,9:49 AM,19-Jan-21,9
1939,the person who hates me the most is myself,3:21 AM,19-Jan-21,3
1940,it ain%E2%80%99t going well and i don%E2%80%99t know what i%E2%80%99m supposed to do,2:26 AM,19-Jan-21,2
1941,having a bad night,12:46 AM,19-Jan-21,0
1942,why am i like this,10:48 PM,18-Jan-21,22
1943,i am struggling,9:45 PM,18-Jan-21,21
1944,how to talk about depressed feelings,9:36 PM,18-Jan-21,21
1945,crying so much,5:56 PM,18-Jan-21,17
1946,i%E2%80%99m suffering this torture so many years,2:09 PM,18-Jan-21,14
1947,struggling with suicidal thoughts,9:39 AM,18-Jan-21,9
1948,i dont know whats wrong with me,8:55 AM,18-Jan-21,8
1949,the wolf in my heart,11:20 PM,17-Jan-21,23
1950,my ongoing agony continues,10:04 PM,17-Jan-21,22
1951,my depressed partner is pushing me away need support,6:45 PM,17-Jan-21,18
1952,poem about depression,6:11 PM,17-Jan-21,18
1953,feeling stupid,1:12 PM,17-Jan-21,13
1954,sexually based depression,12:09 PM,16-Jan-21,12
1955,feel like failure cant stop crying,11:09 AM,16-Jan-21,11
1956,cant remember the last time i felt happy,9:28 AM,16-Jan-21,9
1957,i just wanna feel human,12:16 AM,16-Jan-21,0
1958,feeling empty and down,12:08 AM,16-Jan-21,0
1959,rather gutted,10:06 PM,15-Jan-21,22
1960,i think i%E2%80%99m going to kill myself soon,6:29 PM,15-Jan-21,18
1961,aunt died of covid,6:27 PM,15-Jan-21,18
1962,i just cant get out of this funk,5:17 PM,15-Jan-21,17
1963,judge others,3:48 PM,15-Jan-21,15
1964,alone,9:07 PM,14-Jan-21,21
1965,no zest for life,8:50 PM,14-Jan-21,20
1966,do you feel looked down upon by former friends or people you know,3:42 PM,14-Jan-21,15
1967,why does life hate me,1:14 PM,14-Jan-21,13
1968,depending on others for happiness,12:12 AM,14-Jan-21,0
1969,seven years of abuse,12:09 AM,14-Jan-21,0
1970,my dad has now caused me to get anxiety attacks,10:39 AM,13-Jan-21,10
1971,12 01 2021,10:29 AM,13-Jan-21,10
1972,i don%E2%80%99t work i don%E2%80%99t study just endless pain and boredom,6:30 AM,13-Jan-21,6
1973,struggling to get back into work,4:56 AM,13-Jan-21,4
1974,suffering from a depression whose reason i dont realise,3:58 PM,12-Jan-21,15
1975,real or artificial happiness,3:39 PM,12-Jan-21,15
1976,cheating spouse and depression,1:30 PM,12-Jan-21,13
1977,i%E2%80%99m new should i seek help pls help me,1:27 PM,12-Jan-21,13
1978,i am stuck in a rut not sure what to do,1:24 PM,12-Jan-21,13
1979,our cat is dying,8:27 PM,11-Jan-21,20
1980,feeling of inadequacy and can no longer enjoy things,8:07 PM,11-Jan-21,20
1981,how do i get out of this mess,6:32 PM,11-Jan-21,18
1982,am i causing my girlfriends depression,6:03 PM,11-Jan-21,18
1983,dbt and frustration,5:48 PM,11-Jan-21,17
1984,what do i do,12:04 PM,11-Jan-21,12
1985,should i try see a therapist,11:54 AM,11-Jan-21,11
1986,autopilot living,11:42 AM,11-Jan-21,11
1987,mr,5:16 AM,11-Jan-21,5
1988,i miss my mom,4:17 AM,11-Jan-21,4
1989,new normal depression,12:57 AM,11-Jan-21,0
1990,severely depressed,12:45 AM,11-Jan-21,0
1991,depression and misguided actions,6:53 PM,10-Jan-21,18
1992,depression and narcissm,3:17 PM,10-Jan-21,15
1993,isnt just a mess,2:18 PM,10-Jan-21,14
1994,clarity after depression,1:51 PM,10-Jan-21,13
1995,my boyfriends depression has become worse and now he%E2%80%99s acting mean,8:54 PM,9-Jan-21,20
1996,i dont know,4:44 PM,9-Jan-21,16
1997,nhs housing for mental health care,4:14 PM,9-Jan-21,16
1998,loneliness and depression,1:42 PM,9-Jan-21,13
1999,maddie died,8:24 AM,9-Jan-21,8
2000,hygiene,10:52 PM,8-Jan-21,22
2001,i just dont know anymore,10:25 PM,8-Jan-21,22
2002,tired and defeated,1:16 PM,8-Jan-21,13
2003,the darkness has returned,11:28 PM,7-Jan-21,23
2004,what%E2%80%99s the point,9:50 PM,7-Jan-21,21
2005,new relationship has pushed me back down again,6:42 PM,7-Jan-21,18
2006,i just need someone to speak to i%E2%80%99m really struggling and can%E2%80%99t talk to anyone else,12:18 PM,7-Jan-21,12
2007,suicidal thoughts and panic,11:08 AM,7-Jan-21,11
2008,feel like being encouraged to be suicidal,9:22 AM,7-Jan-21,9
2009,boredom at night anyone else,8:01 PM,6-Jan-21,20
2010,i dont belong here,4:23 PM,6-Jan-21,16
2011,i dont want to be here anymore,2:39 PM,6-Jan-21,14
2012,excessive sleep depression ocd lost,8:57 AM,6-Jan-21,8
2013,at a pretty low point,8:47 AM,6-Jan-21,8
2014,the christmas lonelies thread,4:05 AM,6-Jan-21,4
2015,having dreams of a passed sibling,12:53 AM,6-Jan-21,0
2016,life,4:11 PM,5-Jan-21,16
2017,boyfriend going out for countless hours normal,12:58 PM,5-Jan-21,12
2018,can sexual abuse happen in marriage,11:09 PM,4-Jan-21,23
2019,i am ready to die,7:31 PM,4-Jan-21,19
2020,am i just being sensitive,10:59 AM,4-Jan-21,10
2021,guilt,6:06 AM,4-Jan-21,6
2022,bad habit you would like to break,10:06 PM,3-Jan-21,22
2023,my dog has a poorly tummy,8:05 PM,3-Jan-21,20
2024,struggling,7:45 PM,3-Jan-21,19
2025,friends,2:51 PM,3-Jan-21,14
2026,overwhelming feelings of loneliness and depression considering suicide,6:26 AM,3-Jan-21,6
2027,holidays are hard,10:45 PM,2-Jan-21,22
2028,at a loss not sure what else to try to help depression,8:12 PM,1-Jan-21,20
2029,strangely happy lately,7:23 AM,1-Jan-21,7
2030,happy new year to you all,3:28 AM,1-Jan-21,3
2031,suicide samaritans eastenders,9:35 PM,31-Dec-20,21
2032,antidepressants withdrawal,6:46 PM,31-Dec-20,18
2033,i dont trust antidepressants,1:38 PM,31-Dec-20,13
2034,anyone able to pm for a bit,9:11 AM,31-Dec-20,9
2035,my depression and yours,2:50 AM,31-Dec-20,2
2036,there are only 3 paths,2:40 AM,31-Dec-20,2
2037,i can%E2%80%99t find anyone who i can talk to or relate to,9:05 PM,30-Dec-20,21
2038,noone to talk to,9:02 PM,30-Dec-20,21
2039,being lonely with depression,8:45 PM,30-Dec-20,20
2040,dunno if anyone has felt this too,3:19 PM,30-Dec-20,15
2041,feel like shit anyone wanna message me,2:42 PM,30-Dec-20,14
2042,dealing with over sleeping,2:23 PM,30-Dec-20,14
2043,empty and numb,12:19 AM,30-Dec-20,0
2044,jealousy and attention seeking behavior,12:12 AM,30-Dec-20,0
2045,trouble sleeping again,11:14 PM,29-Dec-20,23
2046,another depressive holidays,10:48 PM,29-Dec-20,22
2047,worry anxiety trapped,7:48 PM,29-Dec-20,19
2048,depressed confused,4:00 PM,29-Dec-20,16
2049,i am shit,2:22 PM,29-Dec-20,14
2050,can anyone help i just need someone to talk to,11:57 PM,28-Dec-20,23
2051,i need help,11:49 PM,28-Dec-20,23
2052,help please,11:23 PM,28-Dec-20,23
2053,distant unreliable friends,5:16 PM,28-Dec-20,17
2054,self social isolation,2:19 AM,28-Dec-20,2
2055,does anyone else feel more low after christmas,10:21 PM,27-Dec-20,22
2056,am i depressed or lazy,4:42 PM,27-Dec-20,16
2057,i want to help him,2:58 PM,27-Dec-20,14
2058,are close families a myth,12:56 PM,27-Dec-20,12
2059,ptsd from my uncles brother trying to hurt me and family covering it up,3:11 AM,27-Dec-20,3
2060,suicide is not a selfish easy way out act,10:22 PM,26-Dec-20,22
2061,am i broken will it ever get better,7:45 PM,26-Dec-20,19
2062,major depressive episode recovery,11:29 AM,26-Dec-20,11
2063,regret,12:00 AM,26-Dec-20,0
2064,possibility,10:56 PM,25-Dec-20,22
2065,christmas loneliness,10:53 PM,25-Dec-20,22
2066,does anyone just not try to hide their emotions,9:25 PM,25-Dec-20,21
2067,christmas day and who cares,7:02 PM,25-Dec-20,19
2068,hello all living with someone in depression,3:53 PM,25-Dec-20,15
2069,im happy from now on,10:02 AM,25-Dec-20,10
2070,feeling lower every day from all ive been through,3:56 AM,25-Dec-20,3
2071,i wish i was a teenager again,1:57 AM,25-Dec-20,1
2072,holiday,10:08 PM,24-Dec-20,22
2073,how to cope with constant loneliness,6:44 PM,24-Dec-20,18
2074,ugh,1:58 PM,24-Dec-20,13
2075,im not me,11:16 AM,24-Dec-20,11
2076,feel like its overtaking me,9:59 AM,24-Dec-20,9
2077,feeling depressed and disconnected,4:29 AM,24-Dec-20,4
2078,feeling helpless,6:35 PM,23-Dec-20,18
2079,title,1:22 PM,23-Dec-20,13
2080,title,9:21 AM,23-Dec-20,9
2081,my story so far,8:09 AM,23-Dec-20,8
2082,motivated not motivated,5:11 AM,23-Dec-20,5
2083,wanting to kill myself a little more every day,3:59 AM,23-Dec-20,3
2084,hate myself,11:30 PM,22-Dec-20,23
2085,trying to make it through the day,11:24 PM,22-Dec-20,23
2086,have you gotten so bad you no longer care,9:04 PM,22-Dec-20,21
2087,depression,11:47 PM,21-Dec-20,23
2088,depression and university,11:47 PM,21-Dec-20,23
2089,emotional dulling,10:18 PM,21-Dec-20,22
2090,am i over reacting,9:27 PM,21-Dec-20,21
2091,what are signs of depression,4:32 PM,21-Dec-20,16
2092,worthless,1:55 PM,21-Dec-20,13
2093,bereavement illness am i overreacting,12:27 AM,21-Dec-20,0
2094,20 12 2020,11:22 PM,20-Dec-20,23
2095,relaxing music,9:07 PM,20-Dec-20,21
2096,lithium withdrawal taper,6:46 PM,20-Dec-20,18
2097,so upset cant stop crying,11:43 PM,19-Dec-20,23
2098,every day life feels like entrapment,11:38 PM,19-Dec-20,23
2099,how do you get out of a depression,11:35 PM,19-Dec-20,23
2100,flirting with someone whos more successful than you,2:17 AM,19-Dec-20,2
2101,hello everyone merry christmas,7:51 PM,18-Dec-20,19
2102,why is life so hard,8:51 AM,18-Dec-20,8
2103,question,2:04 AM,18-Dec-20,2
2104,question,8:47 PM,17-Dec-20,20
2105,lost,7:20 AM,16-Dec-20,7
2106,what can i do,11:46 PM,15-Dec-20,23
2107,lost my way,4:31 PM,15-Dec-20,16
2108,for people who is here not looking for advices,2:48 AM,15-Dec-20,2
2109,anyone else feel like a burden,12:53 AM,15-Dec-20,0
2110,i need to get help for the sake of my family,8:56 PM,14-Dec-20,20
2111,abruptly losing motivation and dont know what to do,5:33 PM,14-Dec-20,17
2112,depressed and getting no help from doctors,5:00 PM,14-Dec-20,17
2113,how to deal with that when no one is around,2:04 PM,14-Dec-20,14
2114,i need help but i cant get help,9:55 AM,14-Dec-20,9
2115,this is unbelievable,9:50 AM,14-Dec-20,9
2116,made terrible mistake,11:07 PM,13-Dec-20,23
2117,down again,10:54 PM,13-Dec-20,22
2118,need life help my story sorry,8:23 PM,13-Dec-20,20
2119,made it 2 more days but i%E2%80%99m breaking again,8:08 PM,13-Dec-20,20
2120,this suuuucks,7:00 PM,13-Dec-20,19
2121,finally not depressed anymore but anxiety is murdering me,1:41 PM,13-Dec-20,13
2122,my life is over,1:07 AM,13-Dec-20,1
2123,advice re medication should i seek a second opinion,11:56 PM,12-Dec-20,23
2124,how to deal with something i saw,10:59 PM,12-Dec-20,22
2125,fatigue,10:52 PM,12-Dec-20,22
2126,depressed,8:17 PM,12-Dec-20,20
2127,depression new relationships,6:28 PM,12-Dec-20,18
2128,help,12:02 AM,12-Dec-20,0
2129,do you guys feel the same,11:26 PM,11-Dec-20,23
2130,rational suicide,9:51 PM,11-Dec-20,21
2131,how to deal with failure,9:29 PM,11-Dec-20,21
2132,depression and or eating disorder how do i begin to get help,6:00 PM,11-Dec-20,18
2133,wellbutrin fail pls ideas,5:21 PM,11-Dec-20,17
2134,depressed boyfriend not sure what to do,4:27 PM,11-Dec-20,16
2135,will this ever end,1:33 PM,11-Dec-20,13
2136,cant do it anymore,11:25 PM,10-Dec-20,23
2137,deciding to leave if my way out doesnt fail,9:24 AM,10-Dec-20,9
2138,guys im loosing it,6:11 AM,10-Dec-20,6
2139,did anyone experience the same depression,3:46 AM,10-Dec-20,3
2140,went for walk to feel better couldn%E2%80%99t go through with it,11:42 PM,9-Dec-20,23
2141,feeling confused about my head,8:02 PM,9-Dec-20,20
2142,how was your first depression,6:02 PM,9-Dec-20,18
2143,again,2:50 PM,9-Dec-20,14
2144,just tired,12:09 PM,9-Dec-20,12
2145,changing medication wishing the pain to go away,11:14 AM,9-Dec-20,11
2146,was married for 9 years,8:46 AM,9-Dec-20,8
2147,i need to finally admit i havent fixed it,8:07 AM,9-Dec-20,8
2148,life update it gets better,11:27 PM,8-Dec-20,23
2149,i don%E2%80%99t know how much longer i can go on like this,10:46 PM,8-Dec-20,22
2150,struggling,10:37 PM,8-Dec-20,22
2151,im going to make myself some nice meals,10:24 PM,8-Dec-20,22
2152,fake or real emotions,9:59 PM,8-Dec-20,21
2153,depressing music thread,9:13 PM,8-Dec-20,21
2154,how can i get better,8:45 PM,8-Dec-20,20
2155,i cant do this anymore,8:44 PM,8-Dec-20,20
2156,cause of depression are from past lives,2:04 PM,8-Dec-20,14
2157,i should have grown up now i am 30 years old with no direction in life and no clear decisions,6:37 AM,8-Dec-20,6
2158,need help someone please,12:05 AM,8-Dec-20,0
2159,i dont know where to start,7:51 PM,7-Dec-20,19
2160,i want to be saved,3:40 PM,7-Dec-20,15
2161,crashed,1:13 PM,7-Dec-20,13
2162,unmotivated in life feel like a failure,7:58 AM,7-Dec-20,7
2163,what are some of your reasons to be alive,12:27 AM,7-Dec-20,0
2164,ex with depression,12:13 AM,7-Dec-20,0
2165,do i have some form of mental illness,8:39 PM,6-Dec-20,20
2166,its hard when you hope for the best that doesnt come,3:34 AM,6-Dec-20,3
2167,can%E2%80%99t take anymore,11:33 PM,5-Dec-20,23
2168,unmotivated stuck and no hope about my future,11:24 PM,5-Dec-20,23
2169,feeling stuck in everything,8:50 PM,5-Dec-20,20
2170,do you use another platform about depression besides this this forum,10:27 AM,5-Dec-20,10
2171,can you function with depression,11:42 PM,4-Dec-20,23
2172,i just want someone to care,11:04 PM,4-Dec-20,23
2173,thinking about ending it,3:48 PM,4-Dec-20,15
2174,not feeling connected,2:05 PM,4-Dec-20,14
2175,why is it so bad at night,12:50 PM,4-Dec-20,12
2176,i hope i get terminal cancer,12:27 PM,4-Dec-20,12
